,agg_y_rate,type,preds_dec,set,subject,model_name,dataset_name
43,13,5,0.15005745,test,0,early_integration,medium
44,14,1,0.88423026,test,0,early_integration,medium
45,14,2,0.84960556,test,0,early_integration,medium
46,14,3,0.9239158,test,0,early_integration,medium
47,14,4,0.9308926,test,0,early_integration,medium
48,14,5,0.92806804,test,0,early_integration,medium
49,15,1,0.9701626,test,0,early_integration,medium
50,15,2,0.97281677,test,0,early_integration,medium
51,15,3,0.98199284,test,0,early_integration,medium
52,15,4,0.9839777,test,0,early_integration,medium
53,15,5,0.9932423,test,0,early_integration,medium
54,16,1,0.99840206,test,0,early_integration,medium
55,16,2,0.9984323,test,0,early_integration,medium
56,16,3,0.99665606,test,0,early_integration,medium
57,16,4,0.999734,test,0,early_integration,medium
58,11,1,0.0045097694,train,1,early_integration,medium
59,11,2,0.0040997854,train,1,early_integration,medium
60,11,3,0.00038497412,train,1,early_integration,medium
61,11,4,0.00040004597,train,1,early_integration,medium
62,11,5,0.0032479698,train,1,early_integration,medium
63,12,1,0.037664074,train,1,early_integration,medium
64,12,2,0.028498072,train,1,early_integration,medium
65,12,3,0.016890263,train,1,early_integration,medium
66,12,4,0.016688438,train,1,early_integration,medium
67,12,5,0.029180532,train,1,early_integration,medium
68,13,1,0.19586173,train,1,early_integration,medium
69,13,2,0.19280307,train,1,early_integration,medium
70,13,3,0.16648759,train,1,early_integration,medium
71,13,4,0.10111352,train,1,early_integration,medium
72,13,5,0.18336985,train,1,early_integration,medium
73,14,1,0.85917175,train,1,early_integration,medium
74,14,2,0.8053456,train,1,early_integration,medium
75,14,3,0.8333104,train,1,early_integration,medium
76,14,4,0.8412287,train,1,early_integration,medium
77,14,5,0.8803215,train,1,early_integration,medium
78,15,1,0.9717234,train,1,early_integration,medium
79,15,2,0.9446305,train,1,early_integration,medium
80,15,3,0.9750281,train,1,early_integration,medium
81,15,4,0.978444,train,1,early_integration,medium
82,15,5,0.9830291,train,1,early_integration,medium
83,16,1,0.9984755,train,1,early_integration,medium
84,16,2,0.9930694,train,1,early_integration,medium
85,16,3,0.99448276,train,1,early_integration,medium
86,16,4,0.9967975,train,1,early_integration,medium
87,11,1,0.0045354655,test,1,early_integration,medium
88,11,2,0.003839875,test,1,early_integration,medium
89,11,3,0.0006948891,test,1,early_integration,medium
90,11,4,0.00051735237,test,1,early_integration,medium
91,11,5,0.0014813881,test,1,early_integration,medium
92,12,1,0.047478545,test,1,early_integration,medium
93,12,2,0.029560592,test,1,early_integration,medium
94,12,3,0.022808716,test,1,early_integration,medium
95,12,4,0.018960495,test,1,early_integration,medium
96,12,5,0.038204953,test,1,early_integration,medium
97,13,1,0.21328342,test,1,early_integration,medium
98,13,2,0.21886963,test,1,early_integration,medium
99,13,3,0.1640691,test,1,early_integration,medium
100,13,4,0.11571106,test,1,early_integration,medium
101,13,5,0.2321426,test,1,early_integration,medium
102,14,1,0.83849496,test,1,early_integration,medium
103,14,2,0.77883995,test,1,early_integration,medium
104,14,3,0.81106246,test,1,early_integration,medium
105,14,4,0.83083236,test,1,early_integration,medium
106,14,5,0.86176515,test,1,early_integration,medium
107,15,1,0.9678909,test,1,early_integration,medium
108,15,2,0.94918984,test,1,early_integration,medium
109,15,3,0.9613539,test,1,early_integration,medium
110,15,4,0.9744656,test,1,early_integration,medium
111,15,5,0.9734775,test,1,early_integration,medium
112,16,1,0.99791324,test,1,early_integration,medium
113,16,2,0.9908027,test,1,early_integration,medium
114,16,3,0.9922004,test,1,early_integration,medium
115,16,4,0.9986666,test,1,early_integration,medium
116,11,1,0.0014380142,train,2,early_integration,medium
117,11,2,0.00043272303,train,2,early_integration,medium
118,11,3,1.5666429e-06,train,2,early_integration,medium
119,11,4,2.0058058e-06,train,2,early_integration,medium
120,11,5,4.8467205e-06,train,2,early_integration,medium
121,12,1,0.017633487,train,2,early_integration,medium
122,12,2,0.007551961,train,2,early_integration,medium
123,12,3,0.0018311021,train,2,early_integration,medium
124,12,4,0.0027452242,train,2,early_integration,medium
125,12,5,0.0024588765,train,2,early_integration,medium
126,13,1,0.05617775,train,2,early_integration,medium
127,13,2,0.05455916,train,2,early_integration,medium
128,13,3,0.026138492,train,2,early_integration,medium
129,13,4,0.013555566,train,2,early_integration,medium
130,13,5,0.031269714,train,2,early_integration,medium
131,14,1,0.9048175,train,2,early_integration,medium
132,14,2,0.85858834,train,2,early_integration,medium
133,14,3,0.8998856,train,2,early_integration,medium
134,14,4,0.8932262,train,2,early_integration,medium
135,14,5,0.91691685,train,2,early_integration,medium
136,15,1,0.97276443,train,2,early_integration,medium
137,15,2,0.953506,train,2,early_integration,medium
138,15,3,0.9888173,train,2,early_integration,medium
139,15,4,0.98496187,train,2,early_integration,medium
140,15,5,0.9922167,train,2,early_integration,medium
141,16,1,0.99663925,train,2,early_integration,medium
142,16,2,0.99635655,train,2,early_integration,medium
143,16,3,0.99926597,train,2,early_integration,medium
144,16,4,0.9996137,train,2,early_integration,medium
145,11,1,0.0010719151,test,2,early_integration,medium
146,11,2,2.7341031e-05,test,2,early_integration,medium
147,11,3,1.41425435e-05,test,2,early_integration,medium
148,11,4,4.427398e-06,test,2,early_integration,medium
149,11,5,2.1049789e-06,test,2,early_integration,medium
150,12,1,0.01797562,test,2,early_integration,medium
151,12,2,0.013324233,test,2,early_integration,medium
152,12,3,0.0055436827,test,2,early_integration,medium
153,12,4,0.0040892446,test,2,early_integration,medium
154,12,5,0.00901635,test,2,early_integration,medium
155,13,1,0.11140574,test,2,early_integration,medium
156,13,2,0.105562285,test,2,early_integration,medium
157,13,3,0.044253457,test,2,early_integration,medium
158,13,4,0.042636856,test,2,early_integration,medium
159,13,5,0.07688139,test,2,early_integration,medium
160,14,1,0.76599294,test,2,early_integration,medium
161,14,2,0.80008924,test,2,early_integration,medium
162,14,3,0.8077248,test,2,early_integration,medium
163,14,4,0.83366346,test,2,early_integration,medium
164,14,5,0.8605381,test,2,early_integration,medium
165,15,1,0.9489789,test,2,early_integration,medium
166,15,2,0.9262004,test,2,early_integration,medium
167,15,3,0.9772657,test,2,early_integration,medium
168,15,4,0.96544415,test,2,early_integration,medium
169,15,5,0.9706308,test,2,early_integration,medium
170,16,1,0.99660516,test,2,early_integration,medium
171,16,2,0.99252045,test,2,early_integration,medium
172,16,3,0.99982953,test,2,early_integration,medium
173,16,4,0.9990864,test,2,early_integration,medium
0,11,1,0.0054687764,train,0,early_integration,hard
1,11,2,0.0072988,train,0,early_integration,hard
2,11,3,0.0033597564,train,0,early_integration,hard
3,11,4,0.00050202245,train,0,early_integration,hard
4,11,5,0.0050611123,train,0,early_integration,hard
5,12,1,0.030009713,train,0,early_integration,hard
6,12,2,0.044835284,train,0,early_integration,hard
7,12,3,0.015667094,train,0,early_integration,hard
8,12,4,0.01163276,train,0,early_integration,hard
9,12,5,0.022372888,train,0,early_integration,hard
10,13,1,0.13904794,train,0,early_integration,hard
11,13,2,0.12303244,train,0,early_integration,hard
12,13,3,0.1304545,train,0,early_integration,hard
13,13,4,0.08541449,train,0,early_integration,hard
14,13,5,0.104881115,train,0,early_integration,hard
15,14,1,0.7253702,train,0,early_integration,hard
16,14,2,0.75389475,train,0,early_integration,hard
17,14,3,0.76405257,train,0,early_integration,hard
18,14,4,0.7804297,train,0,early_integration,hard
19,14,5,0.8009918,train,0,early_integration,hard
20,15,1,0.9034814,train,0,early_integration,hard
21,15,2,0.909593,train,0,early_integration,hard
22,15,3,0.93946415,train,0,early_integration,hard
23,15,4,0.9399213,train,0,early_integration,hard
24,15,5,0.9479772,train,0,early_integration,hard
25,16,1,0.9698395,train,0,early_integration,hard
26,16,2,0.9785137,train,0,early_integration,hard
27,16,3,0.990795,train,0,early_integration,hard
28,16,4,0.9827012,train,0,early_integration,hard
29,11,1,0.023930557,test,0,early_integration,hard
30,11,2,0.037556436,test,0,early_integration,hard
31,11,3,0.002434844,test,0,early_integration,hard
32,11,4,0.00081855786,test,0,early_integration,hard
33,11,5,0.0044216607,test,0,early_integration,hard
34,12,1,0.05643262,test,0,early_integration,hard
35,12,2,0.0923243,test,0,early_integration,hard
36,12,3,0.031094149,test,0,early_integration,hard
37,12,4,0.03701986,test,0,early_integration,hard
38,12,5,0.041397225,test,0,early_integration,hard
39,13,1,0.19141923,test,0,early_integration,hard
40,13,2,0.2271645,test,0,early_integration,hard
41,13,3,0.21169312,test,0,early_integration,hard
42,13,4,0.110775545,test,0,early_integration,hard
43,13,5,0.14403656,test,0,early_integration,hard
44,14,1,0.6270741,test,0,early_integration,hard
45,14,2,0.62994236,test,0,early_integration,hard
46,14,3,0.67140007,test,0,early_integration,hard
47,14,4,0.74499506,test,0,early_integration,hard
48,14,5,0.7382056,test,0,early_integration,hard
49,15,1,0.80976844,test,0,early_integration,hard
50,15,2,0.8466153,test,0,early_integration,hard
51,15,3,0.91181767,test,0,early_integration,hard
52,15,4,0.91125154,test,0,early_integration,hard
53,15,5,0.93584764,test,0,early_integration,hard
54,16,1,0.9490523,test,0,early_integration,hard
55,16,2,0.934249,test,0,early_integration,hard
56,16,3,0.9828149,test,0,early_integration,hard
57,16,4,0.97168297,test,0,early_integration,hard
58,11,1,0.0092547685,train,1,early_integration,hard
59,11,2,0.013037023,train,1,early_integration,hard
60,11,3,0.0013650671,train,1,early_integration,hard
61,11,4,0.001510132,train,1,early_integration,hard
62,11,5,0.005109938,train,1,early_integration,hard
63,12,1,0.025098316,train,1,early_integration,hard
64,12,2,0.05198911,train,1,early_integration,hard
65,12,3,0.020000145,train,1,early_integration,hard
66,12,4,0.01147036,train,1,early_integration,hard
67,12,5,0.022064058,train,1,early_integration,hard
68,13,1,0.092960514,train,1,early_integration,hard
69,13,2,0.11667714,train,1,early_integration,hard
70,13,3,0.07966389,train,1,early_integration,hard
71,13,4,0.06223139,train,1,early_integration,hard
72,13,5,0.06747658,train,1,early_integration,hard
73,14,1,0.8846912,train,1,early_integration,hard
74,14,2,0.8669671,train,1,early_integration,hard
75,14,3,0.8943037,train,1,early_integration,hard
76,14,4,0.9118733,train,1,early_integration,hard
77,14,5,0.92013776,train,1,early_integration,hard
78,15,1,0.95180786,train,1,early_integration,hard
79,15,2,0.94013554,train,1,early_integration,hard
80,15,3,0.9697914,train,1,early_integration,hard
81,15,4,0.9760374,train,1,early_integration,hard
82,15,5,0.9715131,train,1,early_integration,hard
83,16,1,0.983121,train,1,early_integration,hard
84,16,2,0.98643136,train,1,early_integration,hard
85,16,3,0.9937081,train,1,early_integration,hard
86,16,4,0.99444103,train,1,early_integration,hard
87,11,1,0.024978274,test,1,early_integration,hard
88,11,2,0.026336027,test,1,early_integration,hard
89,11,3,0.006205188,test,1,early_integration,hard
90,11,4,0.0014468771,test,1,early_integration,hard
91,11,5,0.006165079,test,1,early_integration,hard
92,12,1,0.07877577,test,1,early_integration,hard
93,12,2,0.12824419,test,1,early_integration,hard
94,12,3,0.034312624,test,1,early_integration,hard
95,12,4,0.057604894,test,1,early_integration,hard
96,12,5,0.06477937,test,1,early_integration,hard
97,13,1,0.19990994,test,1,early_integration,hard
98,13,2,0.23105295,test,1,early_integration,hard
99,13,3,0.21050528,test,1,early_integration,hard
100,13,4,0.16519067,test,1,early_integration,hard
101,13,5,0.17135318,test,1,early_integration,hard
102,14,1,0.67368203,test,1,early_integration,hard
103,14,2,0.7318487,test,1,early_integration,hard
104,14,3,0.7561971,test,1,early_integration,hard
105,14,4,0.77647305,test,1,early_integration,hard
106,14,5,0.8264354,test,1,early_integration,hard
107,15,1,0.81963336,test,1,early_integration,hard
108,15,2,0.86637664,test,1,early_integration,hard
109,15,3,0.92054534,test,1,early_integration,hard
110,15,4,0.92518085,test,1,early_integration,hard
111,15,5,0.9505321,test,1,early_integration,hard
112,16,1,0.9567639,test,1,early_integration,hard
113,16,2,0.97020173,test,1,early_integration,hard
114,16,3,0.9801099,test,1,early_integration,hard
115,16,4,0.98516357,test,1,early_integration,hard
116,11,1,0.0058785123,train,2,early_integration,hard
117,11,2,0.004503987,train,2,early_integration,hard
118,11,3,0.0009262474,train,2,early_integration,hard
119,11,4,0.0006929679,train,2,early_integration,hard
120,11,5,0.000346327,train,2,early_integration,hard
121,12,1,0.02356099,train,2,early_integration,hard
122,12,2,0.02784813,train,2,early_integration,hard
123,12,3,0.013232993,train,2,early_integration,hard
124,12,4,0.009182038,train,2,early_integration,hard
125,12,5,0.01762919,train,2,early_integration,hard
126,13,1,0.096815,train,2,early_integration,hard
127,13,2,0.10750402,train,2,early_integration,hard
128,13,3,0.069699354,train,2,early_integration,hard
129,13,4,0.045020618,train,2,early_integration,hard
130,13,5,0.06856081,train,2,early_integration,hard
131,14,1,0.83215094,train,2,early_integration,hard
132,14,2,0.81439865,train,2,early_integration,hard
133,14,3,0.88677084,train,2,early_integration,hard
134,14,4,0.8821199,train,2,early_integration,hard
135,14,5,0.89323115,train,2,early_integration,hard
136,15,1,0.95714355,train,2,early_integration,hard
137,15,2,0.933736,train,2,early_integration,hard
138,15,3,0.9824991,train,2,early_integration,hard
139,15,4,0.96710163,train,2,early_integration,hard
140,15,5,0.9778303,train,2,early_integration,hard
141,16,1,0.9835889,train,2,early_integration,hard
142,16,2,0.9871616,train,2,early_integration,hard
143,16,3,0.99848706,train,2,early_integration,hard
144,16,4,0.99398756,train,2,early_integration,hard
145,11,1,0.014628806,test,2,early_integration,hard
146,11,2,0.01618649,test,2,early_integration,hard
147,11,3,0.002657071,test,2,early_integration,hard
148,11,4,0.0010808605,test,2,early_integration,hard
149,11,5,0.0045301407,test,2,early_integration,hard
150,12,1,0.08615443,test,2,early_integration,hard
151,12,2,0.09326035,test,2,early_integration,hard
152,12,3,0.027065525,test,2,early_integration,hard
153,12,4,0.02588802,test,2,early_integration,hard
154,12,5,0.036940936,test,2,early_integration,hard
155,13,1,0.23748758,test,2,early_integration,hard
156,13,2,0.27008143,test,2,early_integration,hard
157,13,3,0.19601287,test,2,early_integration,hard
158,13,4,0.11969086,test,2,early_integration,hard
159,13,5,0.13992347,test,2,early_integration,hard
160,14,1,0.6314698,test,2,early_integration,hard
161,14,2,0.66102433,test,2,early_integration,hard
162,14,3,0.78074753,test,2,early_integration,hard
163,14,4,0.80643886,test,2,early_integration,hard
164,14,5,0.7848627,test,2,early_integration,hard
165,15,1,0.8486345,test,2,early_integration,hard
166,15,2,0.8767843,test,2,early_integration,hard
167,15,3,0.96387273,test,2,early_integration,hard
